ID,Nome da campanha,Resultados,Alcance,Custo por resultados,Valor gasto (BRL),Pessoas executando uma ação
1,2017_11_02_FBD_videoFBDgeral_publicoLeadlovers,82,378,0.60975609756098,50,264
2,SOROCABA - Setembro - CFDS 2,14,1373,0.71428571428571,10,22
3,SOROCABA - Setembro - CDFS 1,102,3524,0.29411764705882,30,117
4,SOROCABA - Setembro - TPM 1H,26,1561,0.37884615384615,9.85,36
5,SOROCABA - Setembro - ME,92,5848,0.49217391304348,45.28,112
6,SOROCABA - Setembro - PG,141,8586,0.41482269503546,58.49,170
7,ITU - Setembro - TPM 1H,18,1449,0.54277777777778,9.77,21
8,ITU - Setembro - TPM,62,3740,0.67967741935484,42.14,73
9,ITU - Setembro - PG,25,2280,0.6788,16.97,32
10,ITU - Setembro - ME,18,1479,0.53722222222222,9.67,21
11,ITU - Setembro - CFDS 2,23,1166,0.43478260869565,10,24
12,ITU - Setembro - CFDS 1,40,2905,0.75,30,44
13,PIRACICABA - Setembro - PG,87,3721,0.47724137931034,41.52,98
14,SALTO - Setembro - CFDS 2,11,1137,0.70090909090909,7.71,15
15,ITATIBA - Setembro - PG,68,2528,0.62073529411765,42.21,76
16,VINHEDO - Setembro - PG,101,2799,0.38871287128713,39.26,135
17,VINHEDO - Setembro - ME,450,21246,2.0723555555556,932.56,663
18,TEMPLO - Setembro - Clareza mental para o dia a dia 4,50,2604,0.2548,12.74,65
19,TEMPLO - Setembro - Preliminares 4,363,15031,0.27548209366391,100,419
20,TEMPLO - Setembro - Preliminares 3,105,5434,0.40790476190476,42.83,130
21,TEMPLO - Setembro - Purificando a mente com a meditação 4,104,4354,0.28846153846154,30,173
22,TEMPLO - Setembro - Purificando a mente com a meditação 3,241,11297,0.29045643153527,70,356
23,TEMPLO - Setembro - PG Sexta,1469,56012,0.34923076923077,513.02,1711
24,TEMPLO - Setembro - Meditação expressa,133,7046,0.34075187969925,45.32,186
25,TEMPLO - Setembro - Dia da família,424,23617,0.47169811320755,200,491
26,TEMPLO - Setembro - Todos podem meditar,263,12261,0.38022813688213,100,410
27,2017_11_02_FBD_trafegoLead_video9_lookalike,54,2962,0.37037037037037,20,84
28,2017_11_02_FBD_trafegoLead_video9_interesses_tantra,47,1992,0.42553191489362,20,52
29,ITU - PG Agosto: Superando o apego e a ansiedade,1271,44140,0.5456333595594,693.5,1394
30,Meditação: empoderamento interior!,1825,64245,0.30122191780822,549.73,1970
31,Tornando-se um amigo do mundo,2342,42015,0.20057216054654,469.74,1885
32,Tornando-se um amigo do mundo,602,28133,0.30101328903654,181.21,633
33,2017_11_02_FBD_cliques_ESP_august,142,5915,0.35211267605634,50,183
34,2017_11_02_FBD_trafego_postFestival_participantes_eventos,17,328,1.4488235294118,24.63,27
35,2017_11_02_FBD_trafego_postFestival_inscritos_2016,14,278,1.5007142857143,21.01,43
36,Workshop Como fazer oferendas e montar um altar,183,6442,0.27322404371585,50,183
37,Como transformar sua vida com a meditação,279,14576,0.35344086021505,98.61,319
38,Como transformar sua vida profundamente,1398,31899,0.21459227467811,300,1181
39,2017_11_02_FBD_trafegoLead_video8_publico2,180,6066,0.1665,29.97,287
40,2017_11_02_FBD_trafegoLead_video8,100,4515,0.3,30,110
41,Seis práticas diárias para uma vida mais feliz,718,25596,0.278356545961,199.86,704
42,Dia da família,380,11908,263,99.94,380
43,Entenda a natureza e função da sua mente,1949,44278,0.23088763468445,450,1765
44,Meditação Expressa - Templo - Agosto 4,60,5018,0.40316666666667,24.19,82
45,Meditação expressa - Templo - Agosto 2,151,7092,0.32920529801325,49.71,167
46,Meditação Expressa - Templo - Agosto 1,100,4657,0.25,25,98
47,2017_11_02_FBD_trafegoLead_video5,170,5297,0.17641176470588,29.99,757
48,2017_11_02_FBD_trafegoLead_video5,233,7796,0.21437768240343,49.95,1334
49,A visão budista sobre relacionamentos,451,19742,0.22172949002217,100,640
50,Encontre a pureza de sua mente,175,11046,0.57125714285714,99.97,224
51,2017_11_02_FBD_Leads_video4_publico4,171,4998,0.29011695906433,49.61,206
52,2017_11_02_FBD_Leadvideo3_excluidos_interessesnovos,151,5716,0.4476821192053,67.6,615
53,2017_11_02_FBD_cliques_ESP,168,6367,0.31547619047619,53,234
54,2017_11_02_FBD_Leadvideo2_excluidos,374,13466,0.26737967914439,100,1547
55,2017_11_02_FBD_aberturaLead_testediv,489,14695,0.20449897750511,100,2040
